"Nom de l'offre";"Description";"URL";"Catégorie";"Mode de lecture";"Mode d'accès";"DRM";"Types d'œuvres";"Compatibilité";"Spécificités";"Régime juridique";"Label"
"Virgin Mega (VOD)";"VirginMega.fr est un service de téléchargement de musique, de films et de livres numériques. VirginMega.fr propose un catalogue de plus de 10 millions de titres et 800 000 albums, sans DRM et compatibles avec tous les types de lecteurs MP3. VirginMega.fr offre un catalogue très riche et varié de films : films d’action, comédies, thrillers, drames, films d’horreur, films d’animation, science-fiction, ainsi que des concerts, des séries télévisées et plus de 10 000 clips. Disponibles à la demande (VOD) et en téléchargement définitif, tous les films sont proposés en version française et VOST (Version originale sous-titrée). Virginmega.fr, propose également plus de 150 000 ebooks en français, ainsi qu’une large gamme de BDs et Mangas. Les appareils de lecture compatibles sont : Le Cybook Odyssey by Virgin, les eReaders acceptant les formats ePub et PDF et les tablettes et téléphones iOS et Android.";"http://www.virginmega.fr/video.htm";"VOD & SVOD";"Téléchargement, Streaming";"Gratuit, Carte prépayée, À l'acte";"";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Cinéma indépendant, Court métrage, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, Android";"Qualité HD, Sous-titres VOST";"Œuvres protégées";"1"
"Zaoza (VOD)";"Zaoza est une plateforme de téléchargement qui donne accès à des séries TV, des jeux, des films ainsi que de la musique. Le site donne accès à plus de 70 films et séries, 2 000 albums, 1 500 titres musicaux et plus de 2 500 jeux vidéo. Le catalogue est très régulièrement mis à jour, avec plus de 500 nouveautés par mois.";"http://www.zaoza.fr/";"VOD & SVOD";"Téléchargement, Streaming";"Gratuit, Abonnement, Carte prépayée";"";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Court métrage";"iOS, Android, RIM";"Qualité HD";"Œuvres protégées";"1"
"6play";"Plateforme de télévision de rattrapage généraliste des chaînes M6, W9 et 6ter du groupe M6, disponible sur différents supports.";"http://www.6play.fr/";"TV replay";"Streaming";"Gratuit";"";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, RIM, TV connectée";"Qualité HD, Sous-titres VOST, Séries dispo 24h après diffusion";"Œuvres protégées";""
"MySkreen (TV-R)";"Plateforme de streaming de vidéos généraliste disposant également d'offres de replay provenant de la majorité des chaînes de télévision.";"http://www.myskreen.com/";"TV replay";"Streaming";"À l'acte";"";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Starzik (musique)";"Starzik, toute la culture en téléchargement. Starzik propose une offre complète de téléchargement des produits culturels : musique, livre, BD, jeux et logiciel. Il permet de télécharger ses produits dans différents formats compatible avec l’ensemble des supports numériques (baladeur numérique, ordinateur Mac et PC...). En outre, Starzik propose de nombreuses applications mobile pour profiter partout et tout le temps de ses produits culturels.";"http://www.starzik.com/";"Musique";"Téléchargement, Streaming";"Gratuit, Carte prépayée, À l'acte";"Sans DRM";"Catalogue Major, Indépendant, Amateur, Concert / Live, Karaoké";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Qualité HD, Moteur de recommandation et découverte, Accès hors ligne";"Œuvres protégées, Domaine public";"1"
"Virginmega (musique)";"VirginMega.fr est un service de téléchargement de musique, de films et de livres numériques. VirginMega.fr propose un catalogue de plus de 10 millions de titres et 800 000 albums, sans DRM et compatibles avec tous les types de lecteurs MP3. VirginMega.fr offre un catalogue très riche et varié de films : films d’action, comédies, thrillers, drames, films d’horreur, films d’animation, science-fiction, ainsi que des concerts, des séries télévisées et plus de 10 000 clips. Disponibles à la demande (VOD) et en téléchargement définitif, tous les films sont proposés en version française et VOST (Version originale sous-titrée). Virginmega.fr, propose également plus de 150 000 ebooks en français, ainsi qu’une large gamme de BDs et Mangas. Les appareils de lecture compatibles sont : Le Cybook Odyssey by Virgin, les eReaders acceptant les formats ePub et PDF et les tablettes et téléphones iOS et Android.";"http://www.virginmega.fr/";"Musique";"Streaming, Téléchargement";"À l'acte, Abonnement, Carte prépayée, Gratuit";"Avec DRM, Sans DRM";"Catalogue Major, Concert / Live, Amateur, Indépendant, Karaoké";"Web, Windows, Mac Os X, GNU / Linux";"Moteur de recommandation et découverte";"Domaine public, Œuvres protégées";"1"
"Zaoza (musique)";"Zaoza est une plateforme de téléchargement qui donne accès à des séries TV, des jeux, des films ainsi que de la musique. Le site donne accès à plus de 70 films et séries, 2 000 albums, 1 500 titres musicaux et plus de 2 500 jeux vidéo. Le catalogue est régulièrement mis à jour, avec plus de 500 nouveautés par mois.";"http://www.zaoza.fr/";"Musique";"Streaming, Téléchargement";"Abonnement, Carte prépayée";"";"Catalogue Major, Concert / Live, Indépendant";"Web, Windows, Mac Os X, iOS, Android, RIM";"Accès hors ligne, Moteur de recommandation et découverte";"Œuvres protégées";"1"
"Arte boutique";"ArteVOD est un site de vidéo à la demande. La plateforme propose un choix de plus de 2 400 vidéos dont le catalogue est continuellement enrichi par les programmes diffusés sur la chaîne Arte : des documentaires aux grands classiques du cinéma.";"http://boutique.arte.tv/homepage.html";"VOD & SVOD";"Téléchargement, Streaming";"À l'acte";"";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";"1"
"Amazon (livre numérique)";"Service de téléchargement de livres numériques d'Amazon, au travers de l'univers Kindle, proposant aux usagers une offre large de contenus.";"http://www.amazon.fr/ebooks-kindle";"eBook";"Téléchargement";"Gratuit, Carte prépayée, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Auto-édité, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Livre enrichi, Livre homothétique";"Œuvres protégées, Domaine public";""
"Gallica (livre numérique)";"Gallica est la bibliothèque numérique de la BnF. Elle donne accès à plusieurs millions de documents relevant lajoritairement du domaine public, issus des collections de la BnF et de ses partenaires. Ces documents sont librement et gratuitement consultables en ligne et/ou disponibles au télechargement dans différents formats (PDF, JPEG, TXT, ePUB).";"http://gallica.bnf.fr/";"eBook";"Streaming, Téléchargement";"Gratuit";"Avec DRM, Sans DRM";"Presse / Revue, Partition, Littérature, Format court";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Initiative publique, Livre homothétique";"Domaine public, Œuvres protégées";""
"Google Play Livres";"Service de la plateforme GooglePlay consacré au livre numérique.";"https://play.google.com/store/books";"eBook";"Téléchargement";"À l'acte, Gratuit";"Non précisé";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"iOS, Android";"Livre enrichi, Livre homothétique";"Domaine public, Œuvres protégées";""
"Starzik (livre numérique)";"Starzik, toute la culture en téléchargement. Starzik propose une offre complète de téléchargement des produits culturels : musique, livre, BD, jeux et logiciel. Il permet de télécharger ses produits dans différents formats compatible avec l’ensemble des supports numériques (baladeur numérique, ordinateur Mac et PC...). En outre, Starzik propose de nombreuses applications mobile pour profiter partout et tout le temps de ses produits culturels.";"http://www.starzik.com/";"eBook";"Téléchargement, Streaming";"Gratuit, Carte prépayée, À l'acte";"Sans DRM";"Jeunesse / Éducatif, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique, Livre audio";"Œuvres protégées, Domaine public";"1"
"Virgin Mega (livre numérique)";"VirginMega.fr est un service de téléchargement de musique, de films et de livres numériques. VirginMega.fr propose un catalogue de plus de 10 millions de titres et 800 000 albums, sans DRM et compatibles avec tous les types de lecteurs MP3. VirginMega.fr offre un catalogue très riche et varié de films : films d’action, comédies, thrillers, drames, films d’horreur, films d’animation, science-fiction, ainsi que des concerts, des séries télévisées et plus de 10 000 clips. Disponibles à la demande (VOD) et en téléchargement définitif, tous les films sont proposés en version française et VOST (Version originale sous-titrée). Virginmega.fr, propose également plus de 150 000 ebooks en français, ainsi qu’une large gamme de BDs et Mangas. Les appareils de lecture compatibles sont : Le Cybook Odyssey by Virgin, les eReaders acceptant les formats ePub et PDF et les tablettes et téléphones iOS et Android.";"http://livresnumeriques.virginmega.fr/";"eBook";"Téléchargement";"Gratuit, Carte prépayée, À l'acte";"";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux, Android";"Livre homothétique";"Œuvres protégées, Licences libres, Domaine public";"1"
"Amazon (jeu vidéo)";"Plateforme de téléchargement d'applications.";"http://www.amazon.fr";"Jeu vidéo";"Téléchargement";"Gratuit, À l'acte";"";"Jeu classique, Core Gamer, Indépendant, Casual, Gambling";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"SFR (jeu vidéo)";"Plateforme de distribution de jeux vidéo de SFR sur la box SFR et depuis le site SFR.fr.";"http://jeux-pc.sfr.fr/";"Jeu vidéo";"Téléchargement";"Abonnement";"";"Jeu classique, Triple A, Core Gamer, Casual";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"Gallica (BnF) (image)";"Gallica est la bibliothèque numérique de la BnF. Elle donne accès à plusieurs millions de documents relevant majoritairement du domaine public, issus des collections de la BnF et de ses partenaires. Ces documents sont librement et gratuitement consultables en ligne et/ou disponibles au téléchargement dans différents formats.";"http://gallica.bnf.fr/";"Photo";"Streaming, Téléchargement";"Gratuit";"Non précisé";"Galerie photo";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Initiative publique";"Œuvres protégées";""
"Amazon Mp3";"La boutique Amazon MP3  permet d'acheter de la musique sans DRM et propose plus de 20 millions de titres et d’albums à télécharger.";"http://www.amazon.fr/";"Musique";"Téléchargement";"À l'acte, Abonnement, Carte prépayée, Gratuit";"Avec DRM, Sans DRM";"Catalogue Major, Concert / Live, Amateur, Indépendant, Karaoké";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux, RIM";"Moteur de recommandation et découverte";"Œuvres protégées";"1"
"Club Vidéo (SFR)";"Plateforme de VOD en streaming de SFR. Généraliste, elle permet le visionnage de nombreux contenus sur différents supports.";"http://club-video.sfr.fr/";"VOD & SVOD";"Streaming";"Gratuit, Abonnement";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle, Sourds et malentendants";"Windows, Mac Os X, iOS, Android, RIM";"Qualité HD, Sous-titres VOST, Séries dispo 24h après diffusion";"Œuvres protégées";""
"Google Play Store";"Plateforme de téléchargement d'applications du système d'exploitation Android.";"https://play.google.com/";"Jeu vidéo";"Téléchargement";"À l'acte, Gratuit";"Sans DRM";"Jeu classique, Core Gamer, Casual, Indépendant, Gambling";"iOS, Android";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"Google Play Musique";"Boutique en ligne de Google, permettant d'acheter et d'écouter de la musique sur de nombreux supports.";"https://play.google.com/store/music";"Musique";"Streaming, Téléchargement";"À l'acte";"Sans DRM";"Catalogue Major, Concert / Live, Indépendant, Karaoké";"Web, Windows, Mac Os X, iOS, Android, TV connectée, GNU / Linux, RIM";"Accès hors ligne, Moteur de recommandation et découverte";"Œuvres protégées";""
"Vidéo Unlimited";"Site de VOD généraliste de Sony, qui propose le streaming ou le téléchargement de différents contenus de SONY, dont les grands succès du cinéma.";"http://www.sonyentertainmentnetwork.com/fr-fr/video-unlimited/";"VOD & SVOD";"Streaming, Téléchargement";"À l'acte, Carte prépayée";"Non précisé";"Cinéma et fiction TV, Documentaire / Émission, Dessin animé / Manga, Film de patrimoine";"TV connectée, Web, Windows";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"FilmoTV";"Plateforme de vidéo à la demande à l'acte et par abonnement dédiée au cinéma, permettant de voir en streaming ou en téléchargement le meilleur de tous les cinémas, accessible sur tous les écrans.";"http://www.filmotv.fr/";"VOD & SVOD";"Téléchargement, Streaming";"Abonnement, À l'acte";"Non précisé";"Cinéma et fiction TV, Dessin animé / Manga, Documentaire / Émission";"Web, Windows, Mac Os X, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"ADN";"Plateforme proposant des programmes en simulcast de films et séries TV d'animation japonaise.";"http://animedigitalnetwork.fr/";"VOD & SVOD";"Streaming";"Gratuit, Abonnement, À l'acte";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Court métrage";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST, Séries dispo 24h après diffusion";"Œuvres protégées";""
"Numilog";"Numilog propose plus de 100 000 livres numériques et rassemble l’offre de quasiment tous les éditeurs français proposant des ebooks. De la littérature aux livres pratiques en passant par les livres scolaires et les livres audio, le site de Numilog est une véritable librairie en ligne. Parmi les formats disponibles : ePub et PDF, avec ou sans DRM et des livres audio aux formats WMA et MP3. Les différents formats permettent la lecture sur toutes les liseuses au système ouvert, sur smartphones et tablettes Android ou iOS via l’application Numilog Reader, ainsi que sur ordinateurs. La plateforme propose plusieurs grands thèmes : littérature, pratique, arts, savoirs, dictionnaires. Sont aussi disponibles des livres en anglais, en espagnol et en allemand. Une dernière catégorie propose des ebooks gratuits.";"http://www.numilog.com/";"eBook";"Téléchargement, Streaming";"À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Littérature, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux, Android";"Livre homothétique";"Œuvres protégées";"1"
"Sanspapier";"Sanspapier.com est une plateforme de téléchargement de livres numériques conçue pour retrouver la variété d’une libraire de quartier. De la littérature aux livres pratiques en passant par la sociologie et les guides touristiques, le site de Sanspapier est une véritable librairie en ligne. La lecture est possible sur toutes les liseuses utilisant le format ePub, PDF, ou Mobi, et l’accès web permet une lecture sur ordinateurs. S’appuyant sur un moteur de recherche novateur, le site tient compte du contenu des ouvrages qu’elle présente pour fournir des recommandations de lecture. ";"http://www.sanspapier.com/";"eBook";"Téléchargement";"Gratuit";"Sans DRM";"Presse / Revue, Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X, GNU / Linux";"";"";"1"
"Bibliothèque numérique romande";"La Bibliothèque numérique Romande met à disposition des internautes une offre généraliste de livres numériques libres et gratuits.";"http://www.ebooks-bnr.com/";"eBook";"Téléchargement";"Gratuit";"Non précisé";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Bookstory";"Bookstory est une plateforme de téléchargement de livres numériques conçue comme une maison de pré-édition numérique. Bookstory permet à des auteurs qui ne sont pas encore publiés de soumettre leurs œuvres au comité éditorial de Bookstory. Celui-ci valide les œuvres, puis les met en ligne moyennant un contrat d’éditeur rémunéré. Cela permet aux auteurs d’avoir une première audience : les internautes. Les ouvrages plébiscités par les lecteurs seront présentés à une maison d’édition physique.";"http://bookstory.fr/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Jeunesse / Éducatif, Littérature, Auto-édité, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";"1"
"UPblisher";"Plateforme permettant aux auteurs d'être édités et publiés en ligne et aux lecteurs d'acheter des ebooks en 3 formats.";"http://www.upblisher.com/";"eBook";"Streaming, Téléchargement";"À l'acte, Abonnement";"Sans DRM";"Livre pratique, Littérature, Jeunesse / Éducatif";"GNU / Linux, Mac Os X, Web, Windows";"Livre enrichi, Livre homothétique";"Œuvres protégées";""
"webcomics";"Plateforme d'hébergement de Comics en ligne, peremttant aux dessinateurs d'autoéditer leurs contenus et d'être publiés gratuitement.";"http://www.webcomics.fr/";"eBook";"Streaming";"Gratuit";"Non précisé";"Jeunesse / Éducatif, BD, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"kinoscript";"Site proposant une offre variée de livres numériques à télécharger et affichant une ligne éditoriale singulière. Il offre aux auteurs la possibilité d'être édités librement et publiés sur ce site.";"http://stvpress.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Auto-édité, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Licences libres, Œuvres protégées";""
"Publishroom";"Plateforme de publication en ligne, permettant aux auteurs de s'autoéditer, et aux usagers de télécharger des contenus.";"http://www.publishroom.com/fr";"eBook";"Téléchargement, Streaming";"Gratuit, À l'acte";"Non précisé";"Littérature, Auto-édité, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Atramenta";"Plateforme de publication en ligne, permettant aux auteurs de s'autoéditer et aux usagers de télécharger ou de lire en ligne gratuitement des contenus issus d'une offre généraliste.";"http://www.atramenta.net/";"eBook";"Téléchargement, Streaming";"Gratuit, À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Littérature, Auto-édité, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Open editions books";"Plateforme de téléchargement et de streaming de livres numériques sépcialisée dans les sciences humaines et sociales, dont une partie des contenus est en libre accès.";"http://books.openedition.org/";"eBook";"Téléchargement, Streaming";"Gratuit, Abonnement, À l'acte";"Non précisé";"Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Ebiblio couperin";"Service de Cyberlibris, bibliothèque en ligne proposant des ouvrages universitaires.";"http://couperin.cyberlibris.fr/";"eBook";"Streaming";"Abonnement";"Avec DRM, Sans DRM";"Presse / Revue";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Bibliothèque numérique territoriale";"Service de Cyberlibris, bibliothèque en ligne mettant ici à disposition des usagers les œuvres de la Bbliothèque Nationale Territoriale.";"http://bnt.execvox.com/";"eBook";"Streaming";"Abonnement";"Non précisé";"Livre pratique, Jeunesse / Éducatif";"GNU / Linux, Mac Os X, Web, Windows";"Livre homothétique";"Œuvres protégées";""
"Scholar vox";"Service de Cyberlibris, bibliothèque proposant ici exclusivement des livres pratiques.";"http://www.scholarvox.com/";"eBook";"Téléchargement";"Abonnement, À l'acte";"Non précisé";"Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Bibliovox";"Service de Cyberlibris, bibliothèque proposant ici des ouvrages de lecture publique aux bibliothèques.";"http://www.bibliovox.com/";"eBook";"Streaming";"Abonnement";"Non précisé";"Presse / Revue, Livre pratique, Littérature";"GNU / Linux, Mac Os X, Web, Windows";"Livre homothétique";"Œuvres protégées";""
"Cairn";"Site faisant cohabiter des versions papiers et numériques de nombreuses publications, revues et ouvrages scientifiques dans le domaine des sciences humaines et sociales.";"http://www.cairn.info/";"eBook";"Téléchargement, Streaming";"Gratuit, À l'acte";"Non précisé";"Presse / Revue, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Short edition";"Plateforme de publication en ligne, permettant aux auteurs d'être édités et publiés une fois leur œuvre évaluée par un comité de lecture.";"http://short-edition.com/";"eBook";"Streaming";"Gratuit";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Auto-édité, Format court";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Livre homothétique";"Œuvres protégées";""
"Les nouveaux auteurs";"Plateforme de publication en ligne, permettant aux auteurs d'être édités et publiés une fois leur œuvre évaluée par un comité de lecture et un jury.";"http://www.lesnouveauxauteurs.com/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"BD, Littérature, Auto-édité, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Les éditions persée";"Site des Editions Persée qui publie certains de ces ouvrages au format numérique.";"http://www.editions-persee.fr/";"eBook";"Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Littérature, Auto-édité, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"La bibliothèque électronique de lisieux";"Site mettant à disposition des internautes une offre de livres numériques gratuits issus d'œuvres tombées dans le domaine public.";"http://bmlisieux.com/";"eBook";"Streaming";"Gratuit";"Avec DRM, Sans DRM";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Actilib";"Plateforme consacrée au livre numérique, permettant de télécharger des contenus issus d'une offre généraliste. L'outil permet également de mettre à disposition gratuitement ses propres productions.";"http://actilib.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Auto-édité, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Alexandrie online";"Plateforme consacrée au livre numérique, permettant de télécharger différents contenus, mais aussi de mettre à disposition des usagers ses propres productions gratuitement.";"http://www.alexandrie.org/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Littérature, Auto-édité, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Je publie";"Plateforme d'autoédition, JePublie propose un service complet de publication incluant la relecture, la mise en page et la création graphique, de l'impression du livre en quelques exemplaires à la diffusion sécurisée sur Internet au format eBook.";"http://www.jepublie.com/vos-publications.aspx";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Auto-édité, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Le publieur";"Plateforme d'autoédition, Le Publieur offre des solutions éditoriales d'accompagnement des auteurs. En 10 ans, le site à déjà permis la publication de près de 250 livres numériques.";"http://www.lepublieur.com/";"eBook";"Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Auto-édité, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"feedbooks";"Plateforme de streaming et de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://fr.feedbooks.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Auto-édité, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Youscribe";"Plateforme communautaire généraliste offrant aux usagers la possibilité de publier leurs écrits, ou d'accéder (gratuitement ou de manière payante) à ceux d'autres auteurs.";"http://www.youscribe.com/";"eBook";"Streaming, Téléchargement";"À l'acte, Abonnement, Gratuit";"Sans DRM";"Presse / Revue, Livre pratique, Littérature, Auto-édité, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Licences libres, Œuvres protégées";"1"
"Fnac";"Site de la Fnac qui propose une offre de livres numériques généraliste en téléchargement.";"http://www.fnac.com/telecharger-ebook.asp";"eBook";"Téléchargement";"À l'acte, Carte prépayée";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Livre homothétique";"Domaine public, Licences libres, Œuvres protégées";""
"Inlibroveritas";"InLibroVeritas permet à n'importe quel auteur d'éditer son propre livre en ligne et offre aux usagers la possibilités d'obtenir des versions numériques et papier de ces différentes œuvres.";"http://www.inlibroveritas.net/";"eBook";"Téléchargement, Streaming";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, Littérature, Auto-édité, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Kobo";"Sélection de livres numériques de l'univers Kobo de Fnac, offrant aux usagers une offre généraliste à télécharger.";"http://www.kobobooks.fr/";"eBook";"Téléchargement";"À l'acte, Carte prépayée";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Livre enrichi, Livre homothétique";"Domaine public, Œuvres protégées";""
"wikisource";"Site mettant à disposition des internautes une offre de livres numériques gratuits issus d'œuvres tombées dans le domaine public.";"http://fr.wikisource.org/wiki/Accueil";"eBook";"Téléchargement";"Gratuit";"Non précisé";"Littérature";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Licences libres";""
"Lulu";"Plateforme de publication en ligne, permettant aux auteurs de s'autoéditer, et aux usagers de télécharger des contenus issus d'une offre variée.";"http://www.lulu.com/fr";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Auto-édité, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"revues.org";"Plateforme de téléchargement de livres numériques sépcialisée dans les revues et livres scientifiques et plus généralement dans le domaine de la recherche.";"http://www.revues.org/";"eBook";"Téléchargement, Streaming";"Gratuit, À l'acte";"Non précisé";"Presse / Revue, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Lavoisier";"Plateforme de téléchargement de livres numériques proposant aux usagers une offre spécialisée dans les domaines professionnels et scientifiques.";"http://e.lavoisier.fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Presse / Revue, Livre pratique, Jeunesse / Éducatif";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Emaginaire";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.emaginaire.com/";"eBook";"Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Librairie Doucet";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://doucet.epagine.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie Antillaise";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://librairieantillaise.epagine.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie des lois";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://librairiedeslois.numilog.com/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique, Livre audio";"Œuvres protégées, Domaine public";""
"L'armitière";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.armitiere.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
